"中文","英语"
"我每天早上跑步。","I run every morning.
I go jogging every morning.
I take a run every morning.
"
"他正在图书馆学习。","He is studying in the library.
He is learning in the library.
He is doing his studies at the library.
"
"今天天气很冷。","It is cold today.
The weather is chilly today.
Today is a cold day.
"
"她喜欢听音乐。","She likes listening to music.
She enjoys music.
She loves to listen to music.
"
"我们昨天去了博物馆。","We went to the museum yesterday.
Yesterday we visited the museum.
We took a trip to the museum yesterday.
"
"请给我一杯水。","Please give me a glass of water.
Can I have some water"," please.I’d like a glass of water."
"我正在写一篇文章。","I am writing an article.
I’m working on an essay.
I’m composing a piece of writing.
"
"他会说英语。","He can speak English.
He is able to speak English.
He knows how to speak English.
"
"我想买这本书。","I want to buy this book.
I’d like to purchase this book.
I’m thinking of getting this book.
"
"她每天坐公交车上班。","She takes the bus to work every day.
She goes to work by bus every day.
She commutes by bus daily.
"
