"中文","日语"
"我每天早上六点起床。","毎朝6時に起きます。
毎日朝6時に目を覚まします。
私は毎朝6時に起きる習慣があります。
"
"他正在看电视。","彼はテレビを見ています。
彼は今テレビを見ているところです。
彼はテレビ鑑賞中です。
"
"今天的天气很好。","今日はいい天気です。
今日の天気はとても良いです。
空が晴れていて気持ちいいです。
"
"我喜欢吃寿司。","寿司が好きです。
私は寿司を食べるのが好きです。
寿司をよく食べます。
"
"她在图书馆学习。","彼女は図書館で勉強しています。
彼女は今図書館で勉強中です。
彼女は図書館で学習しています。
"
"我昨天去了东京。","昨日東京へ行きました。
昨日は東京に行ってきました。
昨日東京に出かけました。
"
"请关掉灯。","電気を消してください。
ライトを消してもらえますか。
明かりを消していただけますか。
"
"我正在写作业。","宿題を書いています。
今、課題をやっています。
宿題に取り組んでいます。
"
"你会说英语吗？","英語を話せますか。
英語を話すことができますか。
英語は話せますか。
"
"我想喝水。","水が飲みたいです。
水をください。
水を飲みたくなりました。
"
